Departement,Adresse,Ville,Code postale,E10,E85,SP98,GAZOLE,Latitude,Longitude
08,29 QUAI DU FORT DE ROME,Givet,08600,,,,1.98 €,5013376,481482
08,12 RUE PIERRE VIENOT,VRIGNE-AUX-BOIS,08330,,,,,4973500,485000
08,RN 43 LE PORT LEROY,Cliron,08090,1.81 €,,1.89 €,1.98 €,4980500,462100
08,3 Rue Saint-Charles,Attigny,08130,,0.88 €,,1.93 €,4947872,457662
08,Rue Georges Clemenceau,DONCHERY,08350,,,1.82 €,1.90 €,4969800,486600
08,70 Rue Chantereine,ASFELD,08190,1.66 €,,1.77 €,1.77 €,4946500,411200
08, Avenue de la Paix,MOUZON,08210,,,1.93 €,1.92 €,4961023,507788
08,14 Avenue Pasteur,Sedan,08200,1.69 €,0.92 €,1.79 €,1.83 €,4969900,492800
08,69 Rue de Monthermé,Charleville-Mézières,08000,1.72 €,,1.79 €,1.85 €,4978500,471300
08,63 Avenue Blanqui,BOGNY-SUR-MEUSE,08120,1.70 €,0.89 €,1.77 €,1.87 €,4985700,476400
08,Chestres,Vouziers,08400,1.73 €,,1.81 €,1.85 €,4939900,471500
08,rue des evignes,FUMAY,08170,1.76 €,,1.78 €,1.86 €,4998900,469200
08,140 Avenue Roger Posty,VIREUX-MOLHAIN,08320,1.65 €,,1.72 €,1.76 €,5008100,472500
08,Rue André Compain,Monthermé,08800,1.68 €,,,1.81 €,4988000,474200
08,ROUTE NATIONALE 51,HIERGES,08320,1.77 €,,,1.81 €,5010600,474300
08,Avenue de la Dernière Cartouche,Bazeilles,08140,1.70 €,,0.80 €,1.85 €,4968229,497446
08,37 Rue de la Sommevue,Château-Porcien,08360,,,1.89 €,1.97 €,4953000,424900
08,rue de l'industrie,Les Hautes-Rivières,08800,,,1.89 €,1.90 €,4987300,484900
08,4 RUE DE MONTPELLIER,RETHEL,08300,1.71 €,0.93 €,1.80 €,1.86 €,4950400,436000
08,Station Service Ste Anne RN51,FUMAY,08170,1.64 €,,,1.77 €,4999500,469700
08,ZONE DE L'ETOILE,Rethel,08300,1.70 €,,1.80 €,1.85 €,4951100,436800
08,8 AVENUE DE LA MARNE,SEDAN,08200,,,,,4969926,492701
08,Rue Parmentier,NOUZONVILLE,08700,,,1.77 €,1.87 €,4981889,474094
08,Avenue Martyrs de la Résistance,Renwez,08150,1.79 €,,1.88 €,1.97 €,4984000,460500
08,Route de la Petite Chapelle,ROCROI,08230,,,1.83 €,1.90 €,4992799.55609,452567.373636
08,ZAC DE Wé - 2 avenue de l'Europe,CARIGNAN - Wé,08110,1.70 €,0.96 €,1.74 €,1.81 €,4963700,516200
08,5 ROUTE DE CHARLEVILLE,Attigny,08130,1.78 €,,1.88 €,1.88 €,4948500,458100
08,197 Avenue Carnot,Charleville-Mézières,08000,,,1.79 €,1.87 €,4974600,472700
08,83 Rue Alfred Doury,Juniville,08310,,,,1.82 €,4939800,437800
08,45 Avenue de la Marne,Sedan,08200,1.70 €,0.94 €,1.78 €,1.84 €,4969700,491900
08,AUTOROUTE A34 - AIRE DES ARDENNES - WOINIC,Saulces-Monclin,08270,1.76 €,0.96 €,1.88 €,1.91 €,4959406.9537325,450291.88207464
08,Route de Sedan - ZI des AYVELLES,Villers-Semeuse,08000,1.70 €,,1.79 €,1.87 €,4973300,475200
08,RD 8051,FUMAY,08170,,,,,4999544.59232,469667.027595
08,17 Avenue Charles de Gaulle,Charleville-Mézières,08000,1.71 €,,1.79 €,1.89 €,4976700,471700
08,42 Avenue des Martyrs-de-la-Résistance,Charleville-Mézières,08000,1.74 €,,1.83 €,1.95 €,4975869,472653
08,RTE DE LAFRANCHEVILLE,Charleville-Mézières,08000,,0.92 €,,1.84 €,4974116,472585
08,32 GRANDE RUE,POIX-TERRON,08430,,,1.99 €,2.00 €,4965100,464200
08,1 Rue Chantereine,Asfeld,08190,,,1.76 €,1.86 €,4947064,412341
08, Route de Beauraing,GIVET,08600,1.66 €,0.89 €,1.73 €,1.82 €,5013357.8277,484913.898552
08,RUE PASTEUR,RIMOGNE,08150,,0.96 €,1.79 €,1.84 €,4984000,454500
08,24 Rue de Reims,SAULT-LèS-RETHEL,08300,1.70 €,0.89 €,1.80 €,1.85 €,4950033,435794
08, Rue Arthur Rimbaud,AMAGNE,08300,1.78 €,,1.90 €,1.96 €,4951743,449483
08,13 Avenue Danton,REVIN,08500,1.74 €,,,1.86 €,4993900,464100
08,Rue Verte,VOUZIERS,08400,,,1.82 €,1.87 €,4940500,469700
08,ROUTE DE BOGNY,MONTHERMé,08800,,,1.89 €,1.95 €,4988500,473900
08,route nationale,Blagny,08110,,,1.82 €,1.90 €,4962000,519100
08,115 rue Bournizet,VOUZIERS,08400,1.69 €,0.92 €,1.78 €,1.83 €,4939600,468200
08,1 rue Paulin Richier,CHARLEVILLE-MéZIèRES,08000,1.70 €,0.91 €,1.79 €,1.87 €,4973900,470700
08,Rue Cadeau,SEDAN,08200,1.69 €,,1.79 €,1.84 €,4970600,493600
08,RN43 Lieu dit Le Pré Meumon,Maubert-Fontaine,08260,,0.96 €,,1.85 €,4986700,442800
