Departement,Adresse,Ville,Code postale,E10,E85,SP98,GAZOLE,Latitude,Longitude
32,RTE D'AUCH,Dému,32190,1.52 €,,1.63 €,1.77 €,4376505,16781
32,1 Avenue du Corps Franc Pommiès,Fleurance,32500,,,,1.83 €,4385302,66406
32,ALLEE JEAN CAHUZAC,SAMATAN,32130,,,1.85 €,2.00 €,4349000,93200
32,Route deTarbes,PAVIE,32550,,,,1.81 €,4361700,57500
32,Avenue Jean Philip,MAUVEZIN,32120,,,,,4372900,87800
32,33 Avenue des Pyrénées,Condom,32100,1.50 €,,1.61 €,1.76 €,4394800,37200
32,Avenue Ernest Aimé Touyarou,Eauze,32800,1.64 €,0.89 €,1.74 €,1.88 €,4386386,10749
32,Rue Juliot Curie,FLEURANCE,32500,1.75 €,,1.85 €,1.95 €,4385100,66100
32,U EXPRESS,MARCIAC,32230,1.68 €,,1.77 €,1.94 €,4351831.4174298,17192.27892829
32,ZA Bellevue,SAINT-CLAR,32380,1.69 €,,1.79 €,1.90 €,4388600,76100
32,45  Avenue du Général De Gaulle,Fleurance,32500,,,,2.15 €,4384200,66100
32,AVENUE DANIATE,NOGARO,32110,1.74 €,0.76 €,1.89 €,2.09 €,4377004.0633052,-3018.2771766235
32,AVENUE DE PERIE,NOGARO,32110,1.74 €,0.85 €,1.89 €,1.94 €,4375900,-3300
32,3 rue Jean Moulin,L'Isle-Jourdain,32600,1.64 €,,1.72 €,1.88 €,4361400,108900
32,Route de Mont-de-Marsan,LE HOUGA,32460,,0.98 €,,1.99 €,4377800,-19100
32,8 rue du Pin,Plaisance,32160,1.68 €,,1.74 €,1.94 €,4360100,4200
32,BOULEVARD DES PYRENEES,Cazaubon,32150,,,1.70 €,1.87 €,4393418.8321698,-6350.5417152977
32,Rue Cousiné,Cazaubon,32150,1.66 €,,1.77 €,1.92 €,4393500,-6200
32,RUE MARGUERITE DURAS,AUCH,32000,1.69 €,0.74 €,1.72 €,1.90 €,4366400,61800
32,Place du Foirail,MIRADOUX,32340,,,1.92 €,1.99 €,4399800,75700
32,lieu dit hontaut,Condom,32100,1.64 €,,1.78 €,1.91 €,4396500,36700
32,Avenue Jean Mermoz,MIRANDE,32300,,0.90 €,,1.89 €,4351700,41400
32,450 ROUTE D'AQUITAINE,Riscle,32400,,,,1.82 €,4366800,-7900
32,MARAMBAT,VIC-FEZENSAC,32190,1.65 €,,1.74 €,1.94 €,4376600,31100
32,Route de Lectoure,FLEURANCE,32500,1.70 €,,1.76 €,1.90 €,4386026.9167696,65929.91017
32,ROCADE SUD,VIC-FEZENSAC,32190,,,1.76 €,1.96 €,4375500,29500
32,Avenue de Cahuzac,Gimont,32200,,,,1.79 €,4362800,87800
32,Las Arribères RN21,Preignan,32810,,,,1.90 €,4371200,62200
32,Avenue de Gascogne,Villecomtal-sur-Arros,32730,,0.83 €,,,4340200,20200
32,23 AV. DU GENERAL DE GAULLE,FLEURANCE,32500,1.46 €,,1.56 €,1.72 €,4384400,66200
32,Route de Tarbes,MIRANDE,32300,1.63 €,,1.71 €,1.92 €,4350100,39400
32,Boulevard des Pyrénées,MIRANDE,32300,1.63 €,,1.70 €,1.95 €,4351500,39900
32,60 Z.A. LA PARADE,RISCLE,32400,,,,2.00 €,4365600,-7400
32,203 Rue Victor Hugo,AUCH,32000,1.80 €,0.87 €,,2.02 €,4365500,56600
32,Avenue Pierre De Montesquiou,AUCH,32000,,,,1.83 €,4363700,59000
32,17 Avenue de la Marne,AUCH,32000,,,1.71 €,1.93 €,4364879,59470
32,Avenue Maquis Meilhan,Lombez,32220,1.66 €,,1.78 €,1.93 €,4347068,92231
32,ROUTE DE TOULOUSE,Samatan,32130,,,,,4348800,93600
32,Route d'Auch,MAUVEZIN,32120,1.62 €,0.87 €,1.71 €,1.87 €,4373100,88100
32,RUE DU VISCONTE,Seissan,32260,1.74 €,,,1.96 €,4349441.518,59442.002
32,A CLARAC,AUCH,32000,1.69 €,0.90 €,1.72 €,1.90 €,4366418.27846,59127.5479495
32,rue Bonnemaison,Condom,32100,1.64 €,,,1.89 €,4395976,37835
32,ROUTE D'ESTANG,Toujouse,32240,,,1.92 €,1.99 €,4382400,-15500
32,Route de Fleurance,LECTOURE,32700,,,1.62 €,1.82 €,4391685.9325974,62837.564934287
32,Boulevard du Nord,GIMONT,32200,1.75 €,1.00 €,1.85 €,2.00 €,4362600,88000
32,ROUTE DE TARBES,Auch,32000,1.69 €,,1.72 €,1.90 €,4363100,58200
32,Route de Samatan Lombez,L'ISLE-JOURDAIN,32600,,0.90 €,,1.89 €,4360100,106900
32,ROUTE D'AUCH,Masseube,32140,1.71 €,,1.76 €,1.94 €,4344300,57800
32,LES MOULINS DE LA JUSTICE,LECTOURE,32700,1.64 €,0.74 €,1.72 €,1.89 €,4393600,64300
32,Route D'Auche  Lieu Dit Haut Rege,Valence-sur-Baïse,32310,1.83 €,,1.93 €,2.00 €,4386900,39200
