Departement,Adresse,Ville,Code postale,E10,E85,SP98,GAZOLE
44,ROUTE D'ANGERS,Varades,44370,,0.74 €,1.99 €,1.92 €
44, Rue de la Vieille Cour,MESANGER,44522,1.84 €,,1.93 €,1.91 €
44,ROUTE DE BOUIN,Bourgneuf-en-Retz,44580,,,,1.99 €
44,2 Rue Beau Soleil,SAINT-MARS-DU-DéSERT,44850,,,1.98 €,1.95 €
44,A11 - AIRE DE VARADES PAYS DE LOIRE,VARADES,44370,1.89 €,0.89 €,2.00 €,1.97 €
44,Rue des Musiciens,Malville,44260,,,2.18 €,1.95 €
44,306  Rue du Maréchal Foch,Varades,44370,2.25 €,,,2.22 €
44,7 Avenue du Maréchal de Lattre de Tassigny,Rezé,44400,,,,
44,RN 23 - LES HAUTES LANDES,COUFFé,44521,,,,1.99 €
44,4 RTE DU POINT DU JOUR RD 47,SAINT-NAZAIRE,44600,,,,
44,Place de la commune de Paris,Saint-Joachim,44720,,,,
44,Route de Clisson,GORGES,44190,2.04 €,,2.14 €,2.11 €
44,Boulevard des Prises,MACHECOUL,44270,,,2.05 €,1.92 €
44,Centre Commercial du Chêne - l'Aulnaie,SAINT-JULIEN-DE-CONCELLES,44450,,,1.99 €,1.96 €
44,22 Avenue de la Vendée,Geneston,44140,2.25 €,,2.38 €,2.27 €
44,1 AVENUE DU HECQUEUX,PORNICHET,44380,,,1.95 €,1.96 €
44,29 Rue de la Blordière,REZé,44400,1.84 €,,1.93 €,1.91 €
44,impasse du breniguen,SAINT-MOLF,44350,,,,2.10 €
44,27 Route de l'Isac,BLAIN,44130,1.85 €,,2.01 €,1.90 €
44,204 Route de Saint-Joseph,NANTES,44300,1.89 €,,1.99 €,1.96 €
44,Boulevard Pasteur,ANCENIS,44150,1.85 €,,1.95 €,1.92 €
44,330 Rue du Général de Gaulle,Varades,44370,,,2.06 €,2.04 €
44,8 RUE DE KERVILY,Saint-Lyphard,44410,1.87 €,,1.97 €,1.92 €
44,164 Route de Vannes,ORVAULT,44700,1.85 €,,1.95 €,1.92 €
44,ZAC DE LA FONTAINE AU BRUN,Trignac,44570,1.79 €,,1.90 €,1.90 €
44,AUTOROUTE A83 - AIRE DE LA GRASSINIÈRE,VERTOU,44120,1.79 €,0.89 €,1.90 €,1.87 €
44,ROUTE DE ST NAZAIRE - Z.C. SAVIN,TRIGNAC,44570,1.80 €,0.87 €,1.91 €,1.87 €
44,14 Avenue du Maréchal de Lattre de Tassigny,La Baule-Escoublac,44500,1.99 €,,2.09 €,2.05 €
44,11 Rue du 8 Mai,Blain,44130,1.96 €,,2.07 €,2.00 €
44,Place Bretagne,Le Loroux-Bottereau,44430,1.88 €,,1.98 €,1.93 €
44,54  avenue de la Ferrière,Orvault,44700,1.93 €,0.88 €,2.04 €,1.94 €
44,ZI DE LA SANGLE,Nort-sur-Erdre,44390,1.90 €,,2.00 €,1.95 €
44,L'Aubinière,ANCENIS,44150,,,2.23 €,2.02 €
44,Rue du Général Patton,CHâTEAUBRIANT,44110,1.89 €,,2.00 €,1.98 €
44,22 Rue de la Galarnière,Rezé,44400,1.77 €,,1.86 €,1.87 €
44,RN 137 - Aire de Treillières Ouest,Treillières,44119,2.04 €,,2.15 €,2.04 €
44,ROUTE DE LA BAULE,GUERANDE,44350,,,1.96 €,1.94 €
44,ROUTE DU POULIGUEN,Batz-sur-Mer,44740,2.00 €,,2.11 €,2.02 €
44,RUE DES CHARMES,SAINTE-PAZANNE,44680,,,2.00 €,1.90 €
44,78 Grand'Rue,La Chevrolière,44118,,,2.14 €,1.96 €
44,RUE DU PETIT PRINCE,Vigneux-de-Bretagne,44360,1.82 €,,1.98 €,1.89 €
44,Rue de Nantes,BOUAYE,44830,,,1.96 €,1.93 €
44,51 RUE DE L'OCEAN,Héric,44810,,,1.99 €,1.96 €
44,Route Bleue,Pornic,44210,,,,1.99 €
44,CC L'Iliade,Saint Pere En Retz,44320,,,2.05 €,1.91 €
44,5 Rue du Lieutenant Auge,SAINT-SéBASTIEN-SUR-LOIRE,44230,1.88 €,0.85 €,2.03 €,1.91 €
44,28 Rue de la Jouardais,LE PELLERIN,44640,1.91 €,,2.02 €,1.92 €
44,RUE BAUCHE THIRAUD - ROCADE SUD,REZE,44400,1.81 €,0.90 €,1.91 €,1.87 €
44,RN 23 ROUTE DE PARIS,CARQUEFOU,44470,1.80 €,0.87 €,1.91 €,1.87 €
44,15  Boulevard du Petit Versailles,NOZAY,44170,1.83 €,0.70 €,1.90 €,1.87 €
44,PLACE DE LA COMMUNE DE PARIS,Saint-Joachim,44720,,,2.13 €,1.97 €
44,route de st nazaire la ville en bois,CHâTEAUBRIANT,44110,1.95 €,,1.99 €,1.91 €
44,332 Route de la Côte d'Amour,SAINT-NAZAIRE,44600,1.88 €,,1.99 €,1.95 €
44,41 Avenue du Bois d'Amour,LA BAULE-ESCOUBLAC,44500,1.94 €,,2.04 €,1.96 €
44,RELAIS DE BEAULIEU RN 165,PONTCHATEAU,44160,,,2.05 €,2.01 €
44,Rue d'Utrecht,La chapelle sur Erdre,44240,1.83 €,0.78 €,1.94 €,1.90 €
44,Boulevard du 19 Mars 1962,Guérande,44350,1.92 €,,2.02 €,2.02 €
44,1 Impasse Ordronneau,REZé,44400,,,1.98 €,1.90 €
44,Rue Férréol Prézelin,PAIMBOEUF,44560,1.86 €,,1.97 €,1.93 €
44,D17 - ROUTE DE COUERON,Saint-Étienne-de-Montluc,44360,1.90 €,,2.01 €,1.98 €
44, Route de la Baule,GUéRANDE,44350,1.88 €,0.88 €,1.95 €,1.93 €
44,ZONE NANTES ATLANTIQUE,Bouguenais,44340,,,,2.18 €
44,LIEU DIT TOURNEBRIDE,Saint-Étienne-de-Montluc,44360,1.84 €,,1.93 €,1.90 €
44,1 Rue du Croissant,NANTES,44300,1.84 €,,1.94 €,1.91 €
44,route de Pontchâteau,Saint-Gildas-des-Bois,44530,,,1.89 €,1.87 €
44,la gargouille,MISSILLAC,44780,1.90 €,,,1.94 €
44,11 bis rue charles perron,Plessé,44630,,,1.97 €,1.93 €
44,Avenue des Visitandines,LEGE,44650,1.93 €,0.70 €,2.02 €,1.93 €
44,BD CHARLES DE GAULLE - CD 17,Saint-Herblain,44800,1.80 €,,1.91 €,1.87 €
44,BOULEVARD BAD BRUCKENAU,ANCENIS,44150,1.93 €,,2.02 €,1.92 €
44,15 Rue de Sucé,La Chapelle-sur-Erdre,44240,1.85 €,,1.97 €,1.90 €
44,ROUTE BLEUE - LA HAUTIERE,Saint-Brevin-les-Pins,44250,1.80 €,0.92 €,1.92 €,1.87 €
44,6 Rue des Ardillets,COUëRON,44220,,,,1.97 €
44,Rue des Malifestes,Clisson,44190,1.86 €,0.67 €,2.01 €,1.93 €
44, Rue du Stade,DONGES,44480,1.97 €,,2.08 €,1.95 €
44,48 Rue Châteaubriant,DERVAL,44590,1.85 €,,1.95 €,1.90 €
44,93 Rue François-René de Chateaubriand,Carquefou,44470,,,,1.98 €
44,Rue de Villejames,Guérande,44350,1.81 €,,1.90 €,1.89 €
