Departement,Adresse,Ville,Code postale,E10,E85,SP98,GAZOLE,Latitude,Longitude
79,6 avenue Louis Doignon,CHEF-BOUTONNE,79110,1.67 €,,1.76 €,1.58 €,4610700,-7000
79,226 Avenue de la Rochelle,Niort,79000,,,,,4631087,-48038
79,1 Avenue François Mitterrand,Parthenay,79200,1.69 €,,1.76 €,1.59 €,4664500,-25300
79,30 PLACE DE L HOTEL DE VILLE,Thénezay,79390,,,1.91 €,1.68 €,4671900,-2600
79,Route de Bressuire,CHâTILLON-SUR-THOUET,79200,,,1.76 €,1.59 €,4666800,-25400
79,58 RUE LEONARD DE VINCI,PARTHENAY,79200,1.69 €,,1.76 €,1.59 €,4664900,-22300
79,D948,Chail,79500,1.83 €,,,1.77 €,4620500,-9700
79,A10 AIRE DE ROUILLE PAMPROUX SUD,Pamproux,79800,1.99 €,,2.00 €,1.86 €,4645184.5219877,-1597.7181017418
79,LA COLONNE,MELLE,79500,,,,1.71 €,4622500,-14100
79,Avenue de Royan,Brioux-sur-Boutonne,79170,1.68 €,1.00 €,,1.58 €,4614000,-22100
79,55 route de Niort,FONTENILLE-ST-MARTIN-D'ENTRAIGUE,79110,,,1.96 €,1.75 €,4612400,-13400
79,46 route de ST-MAIXENT,POMPAIRE,79200,,,1.89 €,1.70 €,4660940.29,-23516.606
79,2 passage du commerce,Ste Radegonde,79100,,,,1.70 €,4699600,-24800
79,202 Avenue de la Rochelle,NIORT,79000,1.87 €,,1.97 €,1.74 €,4631300,-47700
79,50  RUE DE LA GRANGE LUCAS,CHAMPDENIERS-SAINT-DENIS,79220,1.68 €,0.89 €,1.75 €,1.59 €,4648800,-39800
79,c commercial geant casino route de paris,Chauray,79180,1.74 €,,1.82 €,1.62 €,4634200,-37700
79,1675 Route de Niort,AIFFRES,79230,,,,1.81 €,4629801,-42635
79, Allée de la Communauté,LA CRèCHE,79260,,,1.81 €,1.66 €,4635519,-31186
79,11 route de Thouars,Saint-Jouin-de-Marnes,79600,,,,,4688500,-5946
79,27 Boulevard de l'Europe,BRESSUIRE,79300,1.74 €,,,1.61 €,4683500,-48200
79,AUTOROUTE A10 - AIRE DE POITOU CHARENTE,VOUILLE,79230,1.99 €,,1.99 €,1.86 €,4629700,-37200
79,Avenue Clément Pineau,SAINT-LéGER-DE-LA-MARTINIèRE,79500,1.68 €,0.90 €,1.76 €,1.59 €,4622700,-12700
79,41 route de Poitiers,Saint-Léger-de-la-Martinière,79500,1.67 €,1.00 €,1.76 €,1.58 €,4622400,-13000
79,22 rue des Acacias,Celles-sur-Belle,79370,1.67 €,,1.78 €,1.58 €,4626800,-22400
79,Route de la rochelle  lieu-dit les grues,Bessines,79000,1.68 €,0.88 €,1.75 €,1.58 €,4628911.1819782,-51087.009183311
79,23 ROUTE DE BRESSUIRE,La Chapelle-Saint-Laurent,79430,,,,1.81 €,4674800,-47600
79,122 AVENUE DE LA ROCHELLE,NIORT,79000,1.77 €,,1.82 €,1.63 €,4631700,-47300
79,Boulevard de Thouars,BRESSUIRE,79300,1.69 €,0.89 €,1.80 €,1.59 €,4684600,-48300
79,AUTOROUTE A83 AIRE DE LA CHATEAUDRIE,Villiers-en-Plaine,79160,1.89 €,0.98 €,1.99 €,1.89 €,4642905,-50681
79,Route de Saumur,THOUARS,79100,1.69 €,0.89 €,1.76 €,1.59 €,4699600,-20700
79,659  RTE DE PARIS,CHAURAY,79180,1.75 €,1.00 €,1.83 €,1.62 €,4634047.54302,-39532.4252537
79,RUE DE LA SABLIERE,ÉCHIRé,79410,1.68 €,0.88 €,1.75 €,1.58 €,4638889.661,-42539.277
79,AV DU MARAIS POITEVIN,Magné,79460,1.69 €,0.91 €,1.78 €,1.58 €,4631600,-55700
79,5 Rue Jules Ferry,Niort,79000,,,,,4633000,-45900
79,Rue de la Distillerie,Mauzé-sur-le-Mignon,79210,1.67 €,1.00 €,1.76 €,1.58 €,4619806,-66833
79,358 Route d'Aiffres,NIORT,79000,1.67 €,1.00 €,1.77 €,1.58 €,4630400,-43800
79,BOULEVARD GEORGES POMPIDOU,Cerizay,79140,1.69 €,,1.76 €,1.59 €,4682583,-66177
79,23 route de Melle,LEZAY,79120,1.68 €,,1.77 €,1.58 €,4626500,-900
79,ECHANGEUR NORD,Mazières-en-Gâtine,79310,1.85 €,,1.96 €,1.72 €,4654600,-31400
79,26 av camille jouffrault - Argenton les vallées,ARGENTONNAY,79150,,,1.86 €,1.67 €,4698530.1108359,-45314.288360595
79,68 Rue de Fontenay,Niort,79000,,0.92 €,1.75 €,1.58 €,4632900,-46900
79,A83 - AIRE DE LA CANEPETIERE,Faye-sur-Ardin,79160,1.89 €,0.98 €,1.99 €,1.76 €,4643043,-50163
79,AUTOROUTE A10 - AIRE DE ROUILLÉ PAMPROUX NORD,PAMPROUX,79800,1.94 €,1.26 €,1.99 €,1.83 €,4645280.8096855,-1779.6282903113
79,38 route de Poitiers,MAULEON,79700,1.74 €,1.00 €,1.82 €,1.63 €,4692208,-73860
79,245 AVENUE DES TILLEULS,CHAURAY,79180,,,1.94 €,1.74 €,4635300,-38600
79,80 Avenue Saint-Jean d'Angély,NIORT,79000,1.74 €,0.99 €,,1.61 €,4631800,-46600
79,LES 2 VILLAGES,NUEIL-LES-AUBIERS,79250,,,1.83 €,1.61 €,4694700,-59600
79,39 rue rené gaillard,Mougon,79370,,,1.93 €,1.73 €,4629288,-29062
79,Route de Saint-Maixent,La Mothe-Saint-Héray,79800,,,1.86 €,1.68 €,4636873.2283435,-11752.827458271
79,1 impasse des Acacias,BEAUVOIR-SUR-NIORT,79360,1.67 €,1.00 €,,1.58 €,4618400,-47200
79,Rue du Pont Cadoret,Argenton-les-Vallées,79150,,,,1.80 €,4698633,-44223.000000005
79,PLACE DU MARCHE,SECONDIGNY,79130,1.70 €,,1.76 €,1.59 €,4661100,-41900
79,la Plaine d'Azia,Azay-le-Brûlé,79400,1.68 €,,1.75 €,1.58 €,4640727,-22500
79,17 Place Cail,CHEF-BOUTONNE,79110,1.71 €,,1.80 €,1.58 €,4610800,-6800
79,Avenue de la Gare,CERIZAY,79140,,,,1.73 €,4681800,-66600
79,16 ROUTE DE NIORT,COULONGES-SUR-L'AUTIZE,79160,1.68 €,0.88 €,1.75 €,1.58 €,4647783.0335256,-59004.859828945
79,Boulevard de l'Atlantique,NIORT,79000,,,1.79 €,1.62 €,4631700,-48100
79,232 Avenue de Paris,Niort,79000,1.78 €,,1.86 €,1.67 €,4633028,-44093
79,Route de Montalembert,SAUZé-VAUSSAIS,79190,1.69 €,,1.79 €,1.59 €,4613300,12000
79,Avenue des Platanes,SAINT-VARENT,79330,1.68 €,,1.77 €,1.59 €,4689400,-23400
79,Route de Poitiers,Airvault,79600,1.68 €,,1.77 €,1.59 €,4682500,-12900
79,130 Avenue de Nantes,NIORT,79000,1.81 €,,1.87 €,1.70 €,4634300,-49400
79,580  avenue de Paris,Niort,79000,1.68 €,0.88 €,1.75 €,1.58 €,4633666.9152692,-41352.274430541
79,2 rue de la taillee,L'Absie,79240,1.91 €,,,1.73 €,4663924.48,-59220.28
79,7 voie Charles VII,Saint-Maixent-l'École,79400,1.75 €,,1.82 €,1.67 €,4641800,-19500
79,BD DU THOUET,CHATILLON SUR THOUET,79200,,,2.03 €,1.80 €,4666100,-23900
79,13 Rue des Joncs,Bressuire,79300,1.69 €,0.89 €,1.80 €,1.59 €,4685000,-49900
79,22 boulevard jacques menard,Thouars,79100,,1.00 €,1.96 €,1.72 €,4697572.6,-19232.7
79,20 AVENUE DE PARIS,Moncoutant,79320,1.69 €,,1.76 €,1.59 €,4673100,-57900
79,BD PORT GENTIL,THOUARS,79100,1.69 €,,1.76 €,1.59 €,4697762,-19815
79,A10 Aire de Poitou Charentes,Aiffres,79230,2.10 €,,2.22 €,1.95 €,4627800,-44600
79,20 Boulevard Georges Clemenceau,PARTHENAY,79200,1.97 €,1.17 €,2.02 €,1.87 €,4664100,-26200
