Departement,Adresse,Ville,Code postale,E10,E85,SP98,GAZOLE,Latitude,Longitude
90,CD 419,BESSONCOURT,90160,1.73 €,,1.83 €,1.99 €,4764191.896,691712.502
90,Rue de la baume  RD83,MENONCOURT,90150,1.80 €,,1.91 €,2.11 €,4768800,695500
90,ZAC du Mont Jean  faubourg d' alsace,GIROMAGNY,90200,,,1.82 €,1.97 €,4773741.60601,683626.03018
90,4 Faubourg de Brisach,Belfort,90000,1.96 €,,1.99 €,2.02 €,4764000,686800
90,62 faubourg de Belfort,Delle,90100,,,1.92 €,2.03 €,4751100,700100
90,56  AVENUE DU GENERAL LECLERC,BELFORT,90000,1.73 €,,1.82 €,2.04 €,4763600,683800
90,AVENUE D'ALTKIRCH,BELFORT,90000,1.80 €,0.86 €,1.91 €,2.13 €,4763100,686700
90,37 Rue Alfred Péchin,Beaucourt,90500,,,1.99 €,2.03 €,4748973,692225
90,37 FAUBOURG DE BELFORT,DELLE,90100,1.66 €,0.76 €,1.74 €,1.99 €,4751200,699900
90,57 Avenue d'Altkirch,Belfort,90000,,0.88 €,2.00 €,1.99 €,4763600,687300
90,3 rue de Besançon,BELFORT,90000,1.73 €,0.84 €,1.82 €,2.05 €,4762600,686000
90,30  rue de Turenne,VALDOIE,90300,,,1.83 €,1.99 €,4766862.6011,684220.308716
90,Rue Alfred Péchin,BEAUCOURT,90500,1.69 €,,1.80 €,2.07 €,4749000,692200
90,72 Faubourg de Belfort,GIROMAGNY,90200,1.80 €,,1.91 €,2.10 €,4773500,683000
90,2 Rue de la Libération,Montreux-Château,90130,1.76 €,,,2.00 €,4760600,700400
90,Rue de Belfort,BAVILLIERS,90800,,,,,4762600,684400
90,1 avenue du général de Gaulle,Belfort,90000,1.73 €,,1.82 €,2.01 €,4762858,686269
90,Route de montbéliard,ANDELNANS,90400,1.74 €,0.84 €,1.84 €,1.98 €,4760000,686200
90,21 Rue Aristide Briand,OFFEMONT,90300,1.76 €,,,1.97 €,4765947.260068,686718.58557833
